nabíjecí_stanice,nabíjení_interval_začátek_datum_a_čas,nabíjení_interval_konec_datum_a_čas,spotřeba_hodnota,spotřeba_jednotka
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-16T09:03:00,2020-02-16T11:27:00,34.180,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-15T10:30:00,2020-02-15T11:48:00,8.606,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-13T17:06:00,2020-02-13T17:08:00,0.003,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-13T14:58:00,2020-02-13T15:30:00,3.366,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-13T07:03:00,2020-02-13T10:04:00,19.313,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-12T13:39:00,2020-02-12T15:46:00,12.316,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-12T07:34:00,2020-02-12T12:17:00,14.865,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-11T14:36:00,2020-02-11T16:27:00,12.589,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-11T07:33:00,2020-02-11T08:59:00,6.394,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-09T17:28:00,2020-02-09T19:00:00,5.296,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-08T18:48:00,2020-02-08T21:21:00,8.945,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-08T14:48:00,2020-02-08T15:13:00,2.741,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-07T20:17:00,2020-02-07T21:14:00,5.525,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-07T19:44:00,2020-02-07T20:00:00,1.731,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-07T16:25:00,2020-02-07T18:10:00,12.483,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T20:26:00,2020-02-06T20:54:00,2.991,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T14:32:00,2020-02-06T14:32:00,0.001,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T14:26:00,2020-02-06T14:28:00,0.000,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T14:25:00,2020-02-06T14:26:00,0.001,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T14:25:00,2020-02-06T14:25:00,0.001,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T14:22:00,2020-02-06T14:23:00,0.000,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T14:21:00,2020-02-06T14:22:00,0.001,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T14:21:00,2020-02-06T14:21:00,0.001,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T14:20:00,2020-02-06T14:20:00,0.003,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T14:18:00,2020-02-06T14:18:00,0.001,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T14:16:00,2020-02-06T14:17:00,0.001,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T14:14:00,2020-02-06T14:14:00,0.004,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T14:11:00,2020-02-06T14:12:00,0.001,kWh
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2020-02-06T14:10:00,2020-02-06T14:10:00,0.001,kWh
