nabijeci_stanice,nabijeni_interval_zacatek_datum_a_cas,nabijeni_interval_konec_datum_a_cas,spotreba_hodnota,spotreba_jednotka
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-12T15:57:00,2018-05-12T15:57:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-12T15:56:00,2018-05-12T15:56:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-12T15:51:00,2018-05-12T15:51:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-12T15:50:00,2018-05-12T15:51:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-12T15:39:00,2018-05-12T15:39:00,0.001,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-12T14:35:00,2018-05-12T15:02:00,7.529,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-12T10:51:00,2018-05-12T12:56:00,13.389,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-10T10:49:00,2018-05-10T12:05:00,8.399,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-10T02:51:00,2018-05-10T03:03:00,1.195,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-07T21:27:00,2018-05-07T02:19:00,55.415,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-07T21:12:00,2018-05-07T21:24:00,2.349,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-07T15:41:00,2018-05-07T16:03:00,2.468,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-06T11:29:00,2018-05-06T12:32:00,6.975,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-05T14:26:00,2018-05-05T15:04:00,4.126,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-04T17:09:00,2018-05-04T17:26:00,2.005,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-04T15:28:00,2018-05-04T15:56:00,10.249,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-05-01T07:54:00,2018-05-01T09:38:00,12.234,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2018-05-12T16:43:00,2018-05-12T18:59:00,5.379,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-30T16:50:00,2018-06-30T17:14:00,2.705,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-27T18:13:00,2018-06-27T21:27:00,21.293,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-26T15:03:00,2018-06-26T18:07:00,13.173,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-26T07:58:00,2018-06-26T08:53:00,5.636,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-25T21:15:00,2018-06-25T22:15:00,6.625,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-22T06:43:00,2018-06-22T07:07:00,2.658,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-21T15:39:00,2018-06-21T16:14:00,3.753,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-21T13:41:00,2018-06-21T14:20:00,4.258,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-19T18:26:00,2018-06-19T19:03:00,4.146,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-17T20:31:00,2018-06-17T00:33:00,25.838,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-17T15:48:00,2018-06-17T16:53:00,6.908,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-16T17:53:00,2018-06-16T20:03:00,15.373,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-15T21:17:00,2018-06-15T01:19:00,25.953,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-15T14:43:00,2018-06-15T14:59:00,1.693,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-15T13:58:00,2018-06-15T14:26:00,3.124,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-15T10:53:00,2018-06-15T11:23:00,3.323,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-15T09:08:00,2018-06-15T10:42:00,10.390,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-15T08:58:00,2018-06-15T09:07:00,1.010,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-14T20:22:00,2018-06-14T21:29:00,4.690,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-13T17:27:00,2018-06-13T17:43:00,1.809,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-12T22:56:00,2018-06-12T23:22:00,2.880,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-12T22:16:00,2018-06-12T22:53:00,4.058,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-11T04:57:00,2018-06-11T06:16:00,8.575,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-10T09:49:00,2018-06-10T10:45:00,6.713,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-09T20:27:00,2018-06-09T21:39:00,7.995,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-08T17:36:00,2018-06-08T18:08:00,3.854,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-07T16:24:00,2018-06-07T16:31:00,0.519,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-07T15:38:00,2018-06-07T16:22:00,4.828,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-06T17:19:00,2018-06-06T17:49:00,3.261,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-05T21:34:00,2018-06-05T00:31:00,14.499,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-05T20:59:00,2018-06-05T21:32:00,5.249,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-05T20:57:00,2018-06-05T20:57:00,0.003,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-05T20:54:00,2018-06-05T20:56:00,0.186,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-05T16:07:00,2018-06-05T16:46:00,3.605,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-04T20:28:00,2018-06-04T21:06:00,4.070,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-03T15:57:00,2018-06-03T16:32:00,3.866,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-02T14:58:00,2018-06-02T17:40:00,17.353,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-02T10:16:00,2018-06-02T10:36:00,2.121,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-01T14:24:00,2018-06-01T14:39:00,1.291,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-06-01T08:19:00,2018-06-01T09:12:00,5.704,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/zasuvka-230v,2018-06-20T14:25:00,2018-06-20T16:43:00,1.921,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-31T21:56:00,2018-07-31T22:21:00,2.720,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-29T20:00:00,2018-07-29T20:21:00,1.501,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-28T10:43:00,2018-07-28T10:56:00,1.455,KWH
https://data.zdarns.cz/zdroj/centrální-parkoviště/konektor-2-mennekes-22kw,2018-07-28T09:27:00,2018-07-28T10:41:00,8.096,KWH
